Vertex 		Distance from Source
2087	39.138.91.28	343
2088	39.141.107.13	282
2089	39.142.39.9	586
2090	39.172.94.102	296
2091	39.182.11.78	282
2092	39.182.66.214	164
2093	39.191.5.245	262
2094	39.192.124.114	485
2095	39.196.53.105	411
2096	39.200.22.46	293
2097	39.210.135.220	331
2098	39.217.234.217	349
2099	39.219.14.84	261
2100	39.222.201.154	377
2101	39.225.121.232	393
2102	39.237.104.22	375
2103	39.239.192.99	383
2104	39.240.232.111	377
2105	39.243.87.67	355
2106	39.254.111.237	446
2107	40.9.180.128	281
2108	40.18.87.192	367
2109	40.23.20.112	187
2110	40.25.183.169	343
2111	40.26.127.147	325
2112	40.34.170.116	444
2113	40.47.218.228	406
2114	40.50.178.129	281
2115	40.50.181.179	433
2116	40.70.34.92	364
2117	40.76.190.23	344
2118	40.77.144.190	305
2119	40.79.41.20	260
2120	40.89.149.196	263
2121	40.94.52.220	324
2122	40.95.11.47	481
2123	40.100.173.254	503
2124	40.109.165.14	385
2125	40.116.237.128	398
2126	40.130.218.190	344
2127	40.136.219.61	389
2128	40.137.80.58	299
2129	40.138.163.72	377
2130	40.145.114.180	338
2131	40.146.114.116	535
2132	40.149.196.216	350
2133	40.153.21.49	438
2134	40.153.69.176	400
2135	40.156.92.51	234
2136	40.158.204.67	328
2137	40.165.132.152	428
2138	40.171.15.237	307
2139	40.177.52.16	360
2140	40.179.76.202	637
2141	40.182.194.76	255
2142	40.186.229.127	201
2143	40.199.254.221	420
2144	40.206.54.220	384
2145	40.210.247.221	322
2146	40.218.228.68	357
2147	40.244.77.144	384
2148	40.251.28.23	399
2149	41.5.11.78	397
2150	41.6.46.119	448
2151	41.10.185.209	615
2152	41.12.68.42	291
2153	41.16.31.36	296
2154	41.29.124.237	188
2155	41.33.80.245	384
2156	41.36.135.128	341
2157	41.40.228.181	377
2158	41.48.22.222	329
2159	41.50.208.12	348
2160	41.52.113.181	386
2161	41.61.50.54	419
2162	41.63.18.220	294
2163	41.63.55.248	430
2164	41.64.45.122	696
2165	41.65.69.223	236
2166	41.71.178.142	396
2167	41.74.78.134	382
2168	41.96.155.239	367
2169	41.98.147.66	290
2170	41.105.53.219	344
2171	41.111.129.91	315
2172	41.114.140.219	421
2173	41.119.218.252	372
2174	41.121.214.197	310
2175	41.124.129.159	293
2176	41.126.183.22	420
2177	41.134.134.219	246
2178	41.140.43.78	427
2179	41.155.241.218	555
2180	41.160.6.189	231
2181	41.172.178.152	337
2182	41.176.29.48	357
2183	41.187.181.64	304
2184	41.189.133.40	438
2185	41.191.26.81	355
2186	41.198.46.86	513
2187	41.201.243.238	153
2188	41.211.78.95	306
2189	41.212.87.1	430
2190	41.213.234.132	398
2191	41.224.214.250	388
2192	41.234.100.157	480
2193	41.234.186.251	551
2194	41.245.58.226	466
2195	41.247.27.175	275
2196	41.247.150.57	417
2197	41.253.250.234	258
2198	41.254.4.157	273
2199	42.4.56.132	260
2200	42.9.86.56	348
2201	42.9.99.229	350
2202	42.12.83.203	438
2203	42.23.46.94	430
2204	42.24.193.198	343
2205	42.24.253.170	285
2206	42.31.220.186	429
2207	42.32.126.65	362
2208	42.37.106.69	495
2209	42.48.19.222	433
2210	42.50.72.231	515
2211	42.54.19.139	434
2212	42.56.153.228	323
2213	42.61.68.59	354
2214	42.68.25.39	333
2215	42.71.128.196	396
2216	42.73.50.142	305
2217	42.79.106.240	690
2218	42.82.246.158	357
2219	42.95.34.166	363
2220	42.97.111.24	334
2221	42.100.51.243	443
2222	42.110.74.247	337
2223	42.111.210.226	425
2224	42.116.173.94	250
2225	42.117.13.88	335
2226	42.117.200.116	580
2227	42.118.71.102	331
2228	42.122.127.117	335
2229	42.122.136.96	377
2230	42.123.65.211	310
2231	42.132.45.14	319
2232	42.136.116.14	421
2233	42.137.30.131	310
2234	42.152.154.235	299
2235	42.152.173.202	362
2236	42.167.62.92	346
2237	42.173.7.60	398
2238	42.186.1.118	331
2239	42.187.236.249	362
2240	42.188.179.170	381
2241	42.197.145.82	385
2242	42.200.254.202	343
2243	42.203.236.138	418
2244	42.205.227.198	568
2245	42.209.143.180	586
2246	42.215.51.181	360
2247	42.217.42.194	304
2248	42.224.193.127	378
2249	42.225.222.204	205
2250	42.245.130.244	339
2251	42.250.233.47	320
2252	42.252.189.157	548
2253	43.4.61.20	412
2254	43.5.96.26	284
2255	43.5.156.240	508
2256	43.12.181.237	403
2257	43.15.180.247	205
2258	43.20.9.16	354
2259	43.32.78.39	523
2260	43.34.198.178	337
2261	43.37.153.159	227
2262	43.37.209.52	328
2263	43.44.19.231	318
2264	43.52.192.166	341
2265	43.53.162.101	263
2266	43.53.237.22	273
2267	43.54.102.86	298
2268	43.56.183.32	472
2269	43.60.166.145	269
2270	43.62.13.35	385
2271	43.74.120.82	454
2272	43.74.244.182	566
2273	43.76.168.132	365
2274	43.78.40.176	371
2275	43.87.42.212	100
2276	43.88.230.162	473
2277	43.109.158.13	355
2278	43.113.66.94	351
2279	43.115.38.42	422
2280	43.125.50.139	367
2281	43.136.213.26	289
2282	43.137.188.70	411
2283	43.140.88.102	470
2284	43.141.41.68	436
2285	43.141.122.68	323
2286	43.145.187.70	317
2287	43.148.206.32	387
2288	43.149.44.193	452
2289	43.155.30.25	370
2290	43.157.191.160	275
2291	43.158.81.251	446
2292	43.188.154.199	392
2293	43.207.228.194	340
2294	43.213.242.188	342
2295	43.218.230.160	360
2296	43.223.242.110	334
2297	43.227.32.88	407
2298	43.227.157.66	497
2299	43.230.4.82	350
2300	43.232.18.106	272
2301	43.241.23.175	266
2302	43.241.61.55	285
2303	43.242.5.45	403
2304	43.243.248.146	493
2305	43.251.213.227	331
2306	43.252.196.219	314
2307	43.254.146.204	235
2308	43.254.171.156	387
2309	44.2.236.9	363
2310	44.4.45.76	487
2311	44.12.132.184	362
2312	44.19.87.221	422
2313	44.24.254.101	291
2314	44.40.93.176	336
2315	44.43.141.63	402
2316	44.47.154.74	376
2317	44.48.213.169	454
2318	44.50.224.202	248
2319	44.55.154.144	391
2320	44.62.195.55	339
2321	44.66.194.211	443
2322	44.68.182.10	346
2323	44.79.183.13	499
2324	44.84.26.214	351
2325	44.101.25.185	339
2326	44.106.84.74	265
2327	44.115.146.127	299
2328	44.126.59.85	340
2329	44.136.202.186	310
2330	44.137.150.222	349
2331	44.138.213.69	461
2332	44.141.26.102	395
2333	44.147.38.70	462
2334	44.148.208.133	232
2335	44.152.67.92	370
2336	44.160.118.44	389
2337	44.166.152.119	292
2338	44.167.251.6	184
2339	44.172.123.59	231
2340	44.175.89.228	309
2341	44.175.97.193	320
2342	44.178.83.13	443
2343	44.180.6.113	234
2344	44.180.247.140	307
2345	44.181.52.243	482
2346	44.185.242.185	535
2347	44.187.121.131	290
2348	44.192.48.88	361
2349	44.198.120.143	390
2350	44.203.65.3	463
2351	44.206.226.77	504
2352	44.209.231.173	379
2353	44.211.47.83	219
2354	44.211.116.39	286
2355	44.214.112.206	276
2356	44.219.45.66	351
2357	44.219.171.49	371
2358	44.220.3.24	313
2359	44.225.21.106	381
2360	44.234.18.248	199
2361	44.234.175.219	346
2362	44.242.109.155	376
2363	44.250.75.170	332
2364	44.254.68.243	249
2365	45.5.50.201	303
2366	45.5.199.10	358
2367	45.5.218.188	274
2368	45.23.196.197	370
2369	45.29.173.183	339
2370	45.40.111.120	258
2371	45.41.247.89	396
2372	45.42.168.123	431
2373	45.55.172.41	362
2374	45.56.239.199	486
2375	45.65.233.89	427
2376	45.71.18.245	492
2377	45.73.212.68	562
2378	45.76.179.3	336
2379	45.81.74.28	337
2380	45.86.106.220	388
2381	45.89.117.37	238
2382	45.91.101.67	270
2383	45.98.32.107	327
2384	45.103.44.134	310
2385	45.108.107.79	383
2386	45.110.39.142	515
2387	45.116.84.73	374
2388	45.119.32.208	341
2389	45.120.203.87	445
2390	45.130.239.60	487
2391	45.133.163.95	204
2392	45.134.187.169	432
2393	45.135.110.31	307
2394	45.138.152.171	424
2395	45.139.153.168	263
2396	45.142.63.239	367
2397	45.144.63.3	395
2398	45.144.197.197	250
2399	45.144.200.208	410
2400	45.147.21.228	288
2401	45.153.251.31	208
2402	45.173.49.165	356
2403	45.185.58.84	344
2404	45.185.253.183	327
2405	45.188.152.253	331
2406	45.192.245.179	450
2407	45.194.133.41	308
2408	45.194.235.81	317
2409	45.196.192.10	381
2410	45.197.188.151	347
2411	45.209.55.166	300
2412	45.213.225.210	375
2413	45.218.134.41	349
2414	45.220.179.213	416
2415	45.222.99.216	394
2416	45.225.236.224	274
2417	45.229.233.1	454
2418	45.230.12.43	445
2419	45.233.44.61	233
2420	45.239.57.25	348
2421	45.241.234.250	339
2422	45.248.152.98	312
2423	46.4.159.41	269
2424	46.4.162.179	385
2425	46.10.210.214	374
2426	46.12.62.100	256
2427	46.16.222.179	399
2428	46.18.43.45	465
2429	46.27.225.70	336
2430	46.30.36.194	242
2431	46.32.99.160	632
2432	46.36.126.145	294
2433	46.50.164.50	350
2434	46.51.178.187	463
2435	46.62.66.154	332
2436	46.65.179.120	389
2437	46.67.40.230	328
2438	46.68.38.139	303
2439	46.77.77.175	384
2440	46.81.194.195	340
2441	46.85.177.55	173
2442	46.91.199.201	346
2443	46.95.101.240	458
2444	46.96.81.180	426
2445	46.96.195.27	381
2446	46.103.14.193	407
2447	46.112.116.108	471
2448	46.129.224.176	515
2449	46.131.67.221	329
2450	46.133.106.5	346
2451	46.139.164.249	372
2452	46.142.110.70	483
2453	46.143.13.45	399
2454	46.147.243.181	340
2455	46.154.191.254	338
2456	46.156.158.62	311
2457	46.160.136.72	344
2458	46.166.233.189	461
2459	46.169.74.108	453
2460	46.173.33.16	374
2461	46.173.216.10	383
2462	46.176.140.175	348
2463	46.176.162.98	367
2464	46.182.105.13	405
2465	46.191.113.188	277
2466	46.196.161.45	379
2467	46.197.7.254	406
2468	46.205.126.199	232
2469	46.209.237.60	417
2470	46.222.121.90	362
2471	46.226.89.97	354
2472	46.227.220.173	283
2473	46.232.189.151	357
2474	46.233.9.162	299
2475	46.238.209.243	276
2476	46.238.246.224	468
2477	46.240.7.191	318
2478	46.242.219.122	286
2479	46.243.102.210	316
2480	46.244.207.76	485
2481	47.2.213.143	170
2482	47.8.78.26	426
2483	47.8.141.103	290
2484	47.10.176.138	242
2485	47.15.194.163	406
2486	47.23.198.235	340
2487	47.28.71.109	303
2488	47.31.214.142	361
2489	47.42.187.162	385
2490	47.56.135.68	371
2491	47.65.62.10	325
2492	47.65.88.112	378
2493	47.73.78.104	252
2494	47.77.44.190	275
2495	47.80.165.161	405
2496	47.87.130.118	391
2497	47.93.44.28	137
2498	47.93.44.60	379
2499	47.94.3.180	350
2500	47.96.133.90	445
2501	47.102.8.172	562
2502	47.105.152.52	416
2503	47.107.88.158	293
2504	47.107.154.59	391
2505	47.108.238.161	526
2506	47.109.34.217	422
2507	47.113.215.157	345
2508	47.120.160.52	248
2509	47.120.239.225	469
2510	47.122.118.103	313
2511	47.128.176.239	384
2512	47.143.63.48	324
2513	47.143.149.253	310
2514	47.146.217.176	430
2515	47.149.102.125	365
2516	47.153.22.226	322
2517	47.156.153.121	351
2518	47.158.133.83	337
2519	47.167.222.75	394
2520	47.169.88.44	331
2521	47.176.108.112	270
2522	47.181.172.30	306
2523	47.184.253.244	370
2524	47.188.66.179	440
2525	47.195.122.75	297
2526	47.195.213.19	146
2527	47.200.171.224	360
2528	47.206.125.239	458
2529	47.207.44.82	413
2530	47.218.183.234	482
2531	47.222.116.157	359
2532	47.227.2.166	210
2533	47.230.149.62	367
2534	47.230.238.129	330
2535	47.231.72.196	393
2536	47.245.87.166	342
2537	47.248.196.178	278
2538	47.249.200.94	344
2539	47.254.12.126	249
2540	48.9.238.90	376
2541	48.14.128.144	375
2542	48.18.130.76	343
2543	48.22.117.79	313
2544	48.26.208.190	416
2545	48.32.105.219	423
2546	48.36.169.253	297
2547	48.39.102.236	359
2548	48.48.53.190	259
2549	48.59.187.152	376
2550	48.60.233.124	397
2551	48.65.34.174	583
2552	48.67.218.98	396
2553	48.70.109.119	322
2554	48.72.50.122	480
2555	48.76.211.89	494
2556	48.86.30.5	362
2557	48.86.160.203	350
2558	48.92.184.249	411
2559	48.94.180.25	429
2560	48.98.42.172	536
2561	48.104.121.112	422
2562	48.105.29.71	206
2563	48.109.47.122	422
2564	48.109.143.239	411
2565	48.110.97.250	390
2566	48.118.129.158	259
2567	48.119.162.24	398
2568	48.123.138.161	383
2569	48.124.248.29	439
2570	48.127.92.19	324
2571	48.129.155.29	334
2572	48.136.104.62	328
2573	48.140.173.1	433
2574	48.141.195.195	394
2575	48.142.40.216	261
2576	48.155.124.40	82
2577	48.157.38.245	515
2578	48.161.19.203	489
2579	48.161.64.236	397
2580	48.165.193.245	229
2581	48.166.114.117	399
2582	48.170.221.59	266
2583	48.173.8.107	396
2584	48.173.155.184	319
2585	48.173.159.186	358
2586	48.176.90.140	343
2587	48.178.40.81	255
2588	48.178.198.169	312
2589	48.188.95.103	415
2590	48.204.161.160	251
2591	48.207.52.162	407
2592	48.208.17.56	372
2593	48.212.111.64	382
2594	48.216.40.226	557
2595	48.222.230.219	355
2596	48.232.78.244	458
2597	48.235.82.65	422
2598	48.239.199.103	496
2599	48.245.67.160	358
2600	48.248.228.174	293
2601	48.248.247.24	327
2602	49.2.25.20	363
2603	49.8.23.230	248
2604	49.10.239.193	309
2605	49.13.106.130	306
2606	49.19.127.21	309
2607	49.26.40.233	461
2608	49.29.107.5	439
2609	49.29.130.223	133
2610	49.35.247.46	342
2611	49.41.120.146	542
2612	49.48.251.97	300
2613	49.49.82.119	232
2614	49.49.91.4	343
2615	49.55.174.20	472
2616	49.56.247.219	434
2617	49.70.25.165	450
2618	49.71.23.221	275
2619	49.72.155.104	366
2620	49.73.157.31	234
2621	49.75.102.71	97
2622	49.77.56.222	293
2623	49.79.9.218	144
2624	49.90.77.91	348
2625	49.94.119.139	333
2626	49.95.53.208	337
2627	49.98.130.58	354
2628	49.103.211.119	387
2629	49.104.119.60	313
2630	49.104.211.107	366
2631	49.104.227.157	399
2632	49.107.209.24	288
2633	49.108.129.88	603
2634	49.119.194.66	374
2635	49.121.182.153	353
2636	49.125.38.92	536
2637	49.132.31.127	427
2638	49.133.31.139	289
2639	49.140.162.125	519
2640	49.152.40.141	416
2641	49.152.178.83	340
2642	49.154.153.99	391
2643	49.158.45.63	310
2644	49.179.25.113	339
2645	49.179.66.96	352
2646	49.179.231.160	337
2647	49.183.64.232	403
2648	49.184.1.145	358
2649	49.184.174.150	476
2650	49.189.39.245	374
2651	49.190.23.236	371
2652	49.192.221.94	375
2653	49.194.241.43	254
2654	49.201.12.2	424
2655	49.202.64.174	323
2656	49.210.165.182	247
2657	49.213.222.123	301
2658	49.214.20.7	226
2659	49.218.248.121	339
2660	49.225.145.152	450
2661	49.228.131.84	423
2662	49.231.173.75	339
2663	49.238.112.220	405
2664	49.241.156.148	371
2665	49.243.3.77	412
2666	49.251.6.47	365
2667	49.252.156.224	588
2668	50.4.99.4	333
2669	50.10.243.208	425
2670	50.28.49.101	401
2671	50.33.131.144	197
2672	50.33.151.45	324
2673	50.38.233.230	426
2674	50.47.235.233	314
2675	50.48.159.235	397
2676	50.53.113.48	320
2677	50.71.158.231	451
2678	50.72.129.249	502
2679	50.75.92.175	275
2680	50.84.64.169	429
2681	50.84.103.170	375
2682	50.85.96.98	183
2683	50.90.19.103	352
2684	50.93.89.237	335
2685	50.106.58.64	400
2686	50.113.249.234	338
2687	50.130.83.221	393
2688	50.135.236.166	428
2689	50.136.227.112	212
2690	50.138.2.156	436
2691	50.144.204.201	340
2692	50.149.70.15	453
2693	50.157.230.79	415
2694	50.161.50.163	409
2695	50.161.145.253	357
2696	50.163.144.19	356
2697	50.164.41.35	360
2698	50.169.53.125	286
2699	50.169.70.62	403
2700	50.189.150.36	425
2701	50.206.107.129	409
2702	50.212.42.102	440
2703	50.218.27.134	303
2704	50.248.128.76	439
2705	50.248.184.49	358
2706	50.252.250.160	418
2707	50.253.10.75	234
2708	51.23.217.143	324
2709	51.31.44.157	448
2710	51.36.132.216	198
2711	51.40.35.136	255
2712	51.47.83.244	476
2713	51.47.139.217	329
2714	51.51.223.56	258
2715	51.54.11.188	371
2716	51.56.128.190	398
2717	51.69.3.16	392
2718	51.74.105.175	337
2719	51.78.114.107	381
2720	51.79.206.8	462
2721	51.81.69.164	306
2722	51.96.15.193	421
2723	51.99.55.241	762
2724	51.110.142.254	330
2725	51.124.234.118	388
2726	51.125.167.253	359
2727	51.127.91.203	443
2728	51.144.246.127	137
2729	51.149.198.210	501
2730	51.153.71.175	480
2731	51.154.67.113	537
2732	51.156.76.171	349
2733	51.157.232.104	415
2734	51.162.200.241	409
2735	51.168.139.93	445
2736	51.169.92.243	444
2737	51.177.50.241	517
2738	51.184.209.209	457
2739	51.187.143.114	343
2740	51.189.51.91	422
2741	51.191.129.175	243
2742	51.193.46.196	369
2743	51.194.106.174	333
2744	51.200.97.52	268
2745	51.202.37.123	366
2746	51.206.86.135	371
2747	51.211.238.6	394
2748	51.214.227.230	250
2749	51.215.133.250	304
2750	51.228.127.218	426
2751	51.230.180.65	350
2752	51.235.214.145	351
2753	51.239.37.244	207
2754	51.239.148.144	328
2755	51.242.132.119	375
2756	51.250.69.218	384
2757	52.10.182.124	312
2758	52.11.219.4	374
2759	52.15.43.152	206
2760	52.18.186.61	209
2761	52.19.131.107	295
2762	52.22.165.219	484
2763	52.30.179.63	547
2764	52.43.168.98	399
2765	52.44.172.47	296
2766	52.46.137.52	510
2767	52.47.215.85	384
2768	52.51.229.171	479
2769	52.55.186.199	331
2770	52.59.245.177	333
2771	52.64.28.120	312
2772	52.65.137.117	321
2773	52.74.20.199	324
2774	52.81.243.167	493
2775	52.85.40.206	299
2776	52.90.11.172	389
2777	52.94.155.1	336
2778	52.95.123.125	455
2779	52.101.127.86	216
2780	52.104.48.24	377
2781	52.108.16.84	339
2782	52.118.173.64	392
2783	52.119.200.110	388
2784	52.126.72.47	276
2785	52.131.65.35	355
2786	52.133.93.237	380
2787	52.134.91.102	400
2788	52.143.219.26	615
2789	52.172.238.132	330
2790	52.184.78.187	368
2791	52.186.227.72	496
2792	52.189.124.245	295
2793	52.193.18.136	324
2794	52.196.135.138	258
2795	52.203.82.81	354
2796	52.203.98.2	277
2797	52.208.125.235	247
2798	52.209.117.76	361
2799	52.214.202.59	422
2800	52.229.120.153	465
2801	52.231.22.197	394
2802	53.14.185.127	446
2803	53.19.60.148	281
2804	53.37.32.76	391
2805	53.37.221.72	269
2806	53.45.158.201	191
2807	53.64.173.27	315
2808	53.69.193.71	236
2809	53.69.197.111	283
2810	53.71.2.73	248
2811	53.77.60.176	537
2812	53.88.30.80	420
2813	53.88.176.109	311
2814	53.89.177.169	353
2815	53.95.50.69	367
2816	53.95.230.129	476
2817	53.102.195.190	403
2818	53.103.155.130	399
2819	53.110.157.142	494
2820	53.111.3.83	318
2821	53.125.71.254	615
2822	53.152.116.157	378
2823	53.163.249.229	659
2824	53.172.125.59	341
2825	53.174.183.188	207
2826	53.174.229.92	174
2827	53.177.119.234	356
2828	53.185.83.82	309
2829	53.193.185.77	420
2830	53.198.233.139	350
2831	53.201.80.8	550
2832	53.209.35.83	505
2833	53.212.240.143	136
2834	53.215.68.244	413
2835	53.220.163.6	412
2836	53.224.104.123	336
2837	53.231.32.49	657
2838	53.233.64.214	413
2839	53.240.183.48	393
2840	53.245.150.14	376
2841	53.253.148.136	416
2842	53.254.199.248	439
2843	54.2.65.42	366
2844	54.14.171.224	479
2845	54.17.202.61	298
2846	54.31.163.201	369
2847	54.42.199.40	392
2848	54.48.137.174	345
2849	54.57.59.5	287
2850	54.59.229.153	287
2851	54.61.15.142	363
2852	54.68.125.5	365
2853	54.68.137.98	238
2854	54.91.129.217	388
2855	54.92.84.223	260
2856	54.93.62.14	511
2857	54.94.204.204	325
2858	54.95.5.221	276
2859	54.102.171.114	348
2860	54.106.29.180	324
2861	54.115.232.158	467
2862	54.118.195.96	329
2863	54.120.42.141	424
2864	54.127.7.73	386
2865	54.132.119.63	284
2866	54.136.98.110	437
2867	54.138.197.39	421
2868	54.141.159.172	65
2869	54.145.161.25	390
2870	54.146.135.170	364
2871	54.148.26.87	311
2872	54.154.108.212	282
2873	54.155.196.75	287
2874	54.157.30.180	352
2875	54.168.228.14	364
2876	54.174.60.67	368
2877	54.174.149.156	392
2878	54.187.183.75	334
2879	54.188.137.59	234
2880	54.190.119.36	322
2881	54.190.222.13	430
2882	54.193.175.45	362
2883	54.196.46.31	339
2884	54.197.143.216	195
2885	54.219.235.198	392
2886	54.220.120.105	286
2887	54.229.74.73	403
2888	54.229.118.81	377
2889	54.232.171.95	298
2890	54.238.179.39	434
2891	54.243.20.11	308
2892	54.244.1.197	365
2893	54.245.69.246	377
2894	55.10.55.23	176
2895	55.13.112.187	277
2896	55.19.31.226	213
2897	55.25.28.238	337
2898	55.31.18.172	284
2899	55.38.42.192	323
2900	55.38.198.113	395
2901	55.40.32.245	383
2902	55.42.146.48	328
2903	55.43.95.192	279
2904	55.46.56.1	260
2905	55.46.76.153	345
2906	55.50.204.13	328
2907	55.55.15.9	268
2908	55.59.81.249	401
2909	55.68.36.28	335
2910	55.70.49.248	209
2911	55.75.177.35	393
2912	55.76.125.201	373
2913	55.81.199.174	563
2914	55.91.24.48	416
2915	55.94.42.166	461
2916	55.109.214.88	275
2917	55.111.113.206	352
2918	55.113.60.26	219
2919	55.116.182.59	492
2920	55.121.168.43	525
2921	55.127.203.210	251
2922	55.127.211.190	116
2923	55.128.37.75	334
2924	55.132.78.65	358
2925	55.134.227.81	390
2926	55.136.97.237	326
2927	55.139.182.119	335
2928	55.140.12.237	204
2929	55.140.212.250	326
2930	55.140.217.36	418
2931	55.142.92.96	380
2932	55.144.253.149	400
2933	55.151.159.169	467
2934	55.154.98.34	427
2935	55.156.90.172	375
2936	55.156.169.219	305
2937	55.159.169.223	510
2938	55.160.18.212	279
2939	55.163.127.141	197
2940	55.163.176.172	324
2941	55.167.143.170	438
2942	55.170.3.201	415
2943	55.170.50.59	314
2944	55.178.4.57	320
2945	55.180.230.70	356
2946	55.183.191.10	250
2947	55.192.32.63	547
2948	55.194.5.46	262
2949	55.198.3.213	497
2950	55.200.89.248	337
2951	55.203.72.253	390
2952	55.207.137.195	421
2953	55.209.233.232	366
2954	55.224.20.98	245
2955	55.228.224.133	351
2956	55.231.29.1	282
2957	55.235.218.41	439
2958	55.239.215.221	327
2959	55.254.126.3	339
2960	56.5.83.111	429
2961	56.5.190.240	361
2962	56.9.78.125	375
2963	56.11.100.159	282
2964	56.15.203.204	358
2965	56.18.12.162	311
2966	56.30.221.184	318
2967	56.30.224.71	377
2968	56.45.138.192	552
2969	56.47.156.45	336
2970	56.51.239.97	273
2971	56.56.47.50	424
2972	56.57.99.17	337
2973	56.58.18.68	325
2974	56.63.140.63	297
2975	56.72.145.73	301
2976	56.76.155.65	283
2977	56.80.210.85	249
2978	56.81.222.248	341
2979	56.87.250.2	340
2980	56.102.118.111	498
2981	56.105.80.65	350
2982	56.107.168.164	215
2983	56.112.19.237	279
2984	56.122.201.182	500
2985	56.123.150.104	343
2986	56.127.236.229	416
2987	56.137.207.159	419
2988	56.140.223.83	477
2989	56.147.29.1	417
2990	56.151.88.37	778
2991	56.153.9.179	320
2992	56.155.2.42	495
2993	56.156.202.125	322
2994	56.164.172.185	496
2995	56.175.215.124	418
2996	56.176.124.173	432
2997	56.185.19.118	304
2998	56.185.242.139	460
2999	56.188.234.32	232
3000	56.189.72.137	311
3001	56.190.29.254	274
3002	56.192.63.150	349
3003	56.196.180.226	385
3004	56.201.246.148	383
3005	56.208.153.9	526
3006	56.214.76.91	419
3007	56.222.97.66	355
3008	56.229.116.156	172
3009	56.252.64.182	343
3010	56.253.5.146	307
3011	57.2.104.204	383
3012	57.3.162.49	606
3013	57.3.166.193	520
3014	57.9.23.189	240
3015	57.9.115.77	317
3016	57.9.196.190	262
3017	57.10.83.51	188
3018	57.15.17.190	494
3019	57.17.128.178	384
3020	57.18.211.20	448
3021	57.25.251.11	397
3022	57.26.248.126	310
3023	57.27.233.16	323
3024	57.29.253.177	346
3025	57.32.115.219	371
3026	57.33.43.201	272
3027	57.33.96.172	192
3028	57.38.116.80	320
3029	57.39.228.56	372
3030	57.42.37.109	300
3031	57.48.22.175	610
3032	57.48.190.103	262
3033	57.53.6.39	342
3034	57.55.21.146	481
3035	57.56.12.234	364
3036	57.62.101.77	622
3037	57.65.162.87	417
3038	57.70.243.5	266
3039	57.73.136.43	335
3040	57.82.136.107	397
3041	57.85.39.126	282
3042	57.87.109.209	209
3043	57.90.34.55	390
3044	57.93.137.63	460
3045	57.94.44.16	316
3046	57.94.105.56	249
3047	57.95.39.21	534
3048	57.96.89.132	362
3049	57.102.103.98	175
3050	57.102.162.15	260
3051	57.117.110.174	308
3052	57.118.199.187	196
3053	57.124.25.224	365
3054	57.125.59.47	333
3055	57.128.10.245	415
3056	57.132.25.116	417
3057	57.133.234.230	287
3058	57.134.210.237	345
3059	57.140.117.60	398
3060	57.146.170.237	297
3061	57.148.25.175	291
3062	57.148.178.185	646
3063	57.154.223.50	402
3064	57.159.225.16	343
3065	57.169.125.38	343
3066	57.177.143.224	236
3067	57.180.193.56	272
3068	57.183.62.184	411
3069	57.183.200.214	387
3070	57.191.29.150	468
3071	57.192.137.215	387
3072	57.198.67.175	256
3073	57.201.145.184	245
3074	57.202.65.148	236
3075	57.207.227.243	311
3076	57.216.186.99	410
3077	57.218.133.76	317
3078	57.218.200.196	244
3079	57.220.103.184	367
3080	57.231.248.128	421
3081	57.232.26.113	450
3082	57.235.177.159	384
3083	57.237.25.36	382
3084	57.237.99.68	379
3085	57.239.46.162	268
3086	57.246.222.83	293
3087	57.247.155.159	316
3088	57.249.219.106	224
3089	57.251.25.222	290
3090	58.4.191.238	491
3091	58.8.163.7	337
3092	58.12.161.42	214
3093	58.20.59.77	503
3094	58.25.124.83	424
3095	58.27.210.164	203
3096	58.28.23.9	365
3097	58.49.176.90	384
3098	58.50.199.157	308
3099	58.54.154.129	111
3100	58.59.214.254	394
3101	58.101.40.140	396
3102	58.102.246.42	323
3103	58.103.160.44	463
3104	58.112.216.221	403
3105	58.118.142.180	360
3106	58.123.146.246	531
3107	58.133.251.71	305
3108	58.148.76.231	326
3109	58.150.117.187	317
3110	58.152.91.249	401
3111	58.153.1.17	271
3112	58.156.119.121	371
3113	58.161.139.9	345
3114	58.161.197.22	412
3115	58.163.180.103	468
3116	58.164.75.151	410
3117	58.169.165.148	419
3118	58.171.32.26	332
3119	58.173.38.146	327
3120	58.174.168.16	465
3121	58.181.44.152	271
3122	58.197.80.156	303
3123	58.200.152.83	366
3124	58.204.233.187	396
3125	58.206.195.201	468
3126	58.215.92.93	235
3127	58.224.97.132	365
3128	58.229.85.99	613
3129	58.230.174.119	310
3130	58.232.36.4	575
3131	58.233.248.98	372
3132	58.235.182.24	425
3133	58.241.86.104	484
3134	58.249.195.100	325
3135	59.5.54.131	369
3136	59.11.188.111	592
3137	59.13.61.54	485
3138	59.26.121.120	360
3139	59.30.104.120	431
3140	59.31.43.146	673
3141	59.39.9.149	476
3142	59.42.57.1	342
3143	59.51.5.23	363
3144	59.53.209.104	341
3145	59.55.234.225	458
3146	59.56.17.194	350
3147	59.56.53.58	442
3148	59.58.55.76	297
3149	59.58.130.164	300
3150	59.59.139.233	440
3151	59.74.25.163	268
3152	59.76.120.4	266
3153	59.77.227.191	316
3154	59.82.242.109	287
3155	59.85.154.89	379
3156	59.90.14.87	402
3157	59.90.141.161	306
3158	59.94.212.118	271
3159	59.97.11.80	455
3160	59.101.43.188	449
3161	59.105.250.88	391
